ProductGroupID,GroupName,GroupDescription,Category,SubCategory,Department,ManagerID,CreatedDate,ModifiedDate,IsActive
1,Accessories,Accessories products,Gadgets,Stationary,Development,32,2024-01-07 06:09:33.944304,2024-03-18 06:09:33.944304,False
2,Computers,Computers products,Gadgets,Wearable,Marketing,42,2023-10-28 06:09:33.944318,2024-01-17 06:09:33.944318,True
3,Audio Equipment,Audio Equipment products,Gadgets,Stationary,Development,35,2023-11-28 06:09:33.944324,2024-02-25 06:09:33.944324,True
4,Accessories,Accessories products,Gadgets,Wearable,Marketing,19,2023-07-05 06:09:33.944329,2023-07-06 06:09:33.944329,False
5,Mobile Devices,Mobile Devices products,Electronics,Wearable,Marketing,44,2023-11-10 06:09:33.944334,2024-02-02 06:09:33.944334,True
6,Cameras,Cameras products,Electronics,Wearable,Marketing,42,2023-07-15 06:09:33.944339,2023-10-10 06:09:33.944339,False
7,Computers,Computers products,Gadgets,Stationary,Marketing,14,2023-10-01 06:09:33.944344,2024-01-01 06:09:33.944344,True
8,Accessories,Accessories products,Gadgets,Portable,Marketing,45,2023-08-04 06:09:33.944351,2023-08-25 06:09:33.944351,True
9,Audio Equipment,Audio Equipment products,Gadgets,Portable,Marketing,25,2023-12-09 06:09:33.944357,2024-01-12 06:09:33.944357,True
10,Accessories,Accessories products,Gadgets,Stationary,Sales,49,2023-09-27 06:09:33.944362,2023-11-01 06:09:33.944362,False
11,Audio Equipment,Audio Equipment products,Gadgets,Wearable,Marketing,39,2023-08-07 06:09:33.944366,2023-08-14 06:09:33.944366,True
12,Audio Equipment,Audio Equipment products,Electronics,Stationary,Sales,37,2023-12-16 06:09:33.944370,2023-12-27 06:09:33.944370,False
13,Cameras,Cameras products,Electronics,Wearable,Sales,27,2023-07-31 06:09:33.944374,2023-08-21 06:09:33.944374,True
14,Accessories,Accessories products,Electronics,Stationary,Development,17,2023-08-30 06:09:33.944378,2023-11-15 06:09:33.944378,True
15,Computers,Computers products,Gadgets,Portable,Marketing,21,2023-11-17 06:09:33.944382,2023-11-29 06:09:33.944382,False
16,Computers,Computers products,Gadgets,Portable,Development,25,2023-07-23 06:09:33.944386,2023-09-05 06:09:33.944386,False
17,Computers,Computers products,Electronics,Stationary,Development,29,2023-12-09 06:09:33.944390,2024-01-16 06:09:33.944390,False
18,Mobile Devices,Mobile Devices products,Electronics,Wearable,Development,2,2023-08-21 06:09:33.944394,2023-10-03 06:09:33.944394,True
